epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1998.41,0.97091,2.20266,1.32848,0.3089,0.40013,0.26886,0.17071,1.2788,2.461,1.48218,0.0670179,0.000333153,0.000333153
2,3140.13,0.91757,1.87301,1.31275,0.52947,0.54291,0.54372,0.38914,1.00212,1.54438,1.15591,0.0340107,0.000659277,0.000659277
3,4252.72,0.88422,1.73208,1.294,0.55613,0.57867,0.56384,0.39627,0.95527,1.44191,1.11552,0.000975089,0.000957032,0.000957032
4,5451.49,0.83825,1.6089,1.26469,0.63019,0.62614,0.62101,0.45244,0.91031,1.27527,1.0612,0.000905463,0.000905463,0.000905463
5,6580.13,0.80331,1.50331,1.2445,0.6609,0.66413,0.6792,0.51157,0.8509,1.1768,1.00854,0.00083622,0.00083622,0.00083622
6,7641.66,0.8041,1.35181,1.30174,0.67213,0.71536,0.7006,0.53569,0.8338,1.06494,0.99377,0.0007525,0.0007525,0.0007525
7,8725.81,0.75775,1.21479,1.26007,0.72242,0.74214,0.73845,0.58409,0.7925,0.9394,0.95958,0.000657963,0.000657963,0.000657963
8,9809.15,0.71809,1.10958,1.22887,0.71084,0.76555,0.73981,0.5891,0.74192,0.90418,0.91604,0.000556742,0.000556742,0.000556742
9,10863.5,0.68153,1.01818,1.19709,0.73618,0.76295,0.75724,0.62026,0.68603,0.86013,0.87888,0.000453258,0.000453258,0.000453258
10,11912.6,0.65517,0.95816,1.18085,0.75256,0.77224,0.78396,0.64318,0.6928,0.78634,0.87807,0.000352037,0.000352037,0.000352037
11,12963.4,0.61635,0.88087,1.15104,0.75519,0.79919,0.79687,0.65992,0.66353,0.74252,0.85418,0.0002575,0.0002575,0.0002575
12,14013.7,0.59245,0.82545,1.13221,0.78711,0.77393,0.80572,0.6796,0.63124,0.73225,0.83748,0.00017378,0.00017378,0.00017378
13,15063.6,0.57025,0.78272,1.11969,0.77599,0.79839,0.80735,0.68319,0.61427,0.71362,0.8234,0.000104537,0.000104537,0.000104537
14,16118.1,0.55405,0.75553,1.11038,0.76403,0.81758,0.81167,0.68655,0.60585,0.69168,0.81324,5.2795e-05,5.2795e-05,5.2795e-05
15,17171,0.54337,0.7331,1.10477,0.76447,0.81858,0.81453,0.68982,0.60371,0.68823,0.8118,2.08169e-05,2.08169e-05,2.08169e-05
